1k-rows:
	branch clone T1: 0.143,0.133,0.153,0.151,0.136  
	branch clone T2: 0.123,0.123,0.122,0.127,0.130  
	branch clone T3: 0.132,0.121,0.120,0.141,0.130  
	branch clone T4: 0.123,0.129,0.111,0.122,0.128
	
	branch diff T1 T0: 0.605,0.572,0.659,0.654,0.548  
	branch diff T2 T0: 0.697,0.631,0.703,0.758,0.680  
	branch diff T3 T0: 0.661,0.624,0.651,0.599,0.624  
	branch diff T4 T0: 0.666,0.658,0.665,0.630,0.630
	
	branch merge T1 T0: 0.587,0.554,0.582,0.562,0.531  
	branch merge T2 T0: 0.537,0.573,0.543,0.552,0.503  
	branch merge T3 T0: 0.568,0.624,0.609,0.525,0.549  
	branch merge T4 T0: 0.552,0.576,0.575,0.600,0.543


	sql copy T1: 121.180,117.545,124.815,116.333,126.027
	sql copy T2: 114.154,110.729,117.579,109.588,118.720
	sql copy T3: 125.139,121.385,128.893,120.133,130.145
	sql copy T4: 117.147,113.633,120.661,112.461,121.833
	
	sql diff T1 T0: 426.994,414.184,439.804,409.914,444.074
	sql diff T2 T0: 439.479,426.295,452.663,421.900,457.058
	sql diff T3 T0: 431.428,418.485,444.371,414.171,448.685
	sql diff T4 T0: 435.211,422.155,448.267,417.803,452.619
	
	sql merge T1 T0: 423.135,410.441,435.829,406.210,440.060
	sql merge T2 T0: 421.089,408.456,433.722,404.245,437.933
	sql merge T3 T0: 413.050,400.659,425.442,396.528,429.572
	sql merge T4 T0: 430.211,417.305,443.117,413.003,447.419



10k-rows:
	branch clone T1: 0.158,0.153,0.162,0.161,0.155  
	branch clone T2: 0.140,0.140,0.139,0.142,0.143  
	branch clone T3: 0.145,0.140,0.140,0.149,0.144  
	branch clone T4: 0.146,0.149,0.140,0.145,0.149
	
	branch diff T1 T0: 28.754,28.130,29.778,29.677,27.674  
	branch diff T2 T0: 28.445,27.365,28.539,29.444,28.175  
	branch diff T3 T0: 28.437,27.792,28.260,27.366,27.804  
	branch diff T4 T0: 28.525,28.383,28.515,27.916,27.911
	
	branch merge T1 T0: 28.943,28.292,28.849,28.456,27.835  
	branch merge T2 T0: 28.755,29.532,28.885,29.082,28.032  
	branch merge T3 T0: 28.036,29.141,28.843,27.186,27.661  
	branch merge T4 T0: 27.328,27.812,27.790,28.282,27.158


	sql copy T1: 111.534,127.641,116.895,130.874,133.298
	sql copy T2: 124.354,115.311,122.559,123.286,125.569
	sql copy T3: 121.542,121.975,128.599,135.150,137.653
	sql copy T4: 111.442,113.647,110.265,126.519,128.862
	
	sql diff T1 T0: 426.994,414.184,439.804,461.154,469.693
	sql diff T2 T0: 439.479,426.295,452.663,474.637,483.427
	sql diff T3 T0: 431.428,418.485,444.371,465.942,474.571
	sql diff T4 T0: 435.211,422.155,448.267,470.028,478.732
	
	sql merge T1 T0: 423.135,410.441,435.829,456.986,465.449
	sql merge T2 T0: 421.089,408.456,433.722,454.776,463.198
	sql merge T3 T0: 413.050,400.659,425.442,446.094,454.355
	sql merge T4 T0: 430.211,417.305,443.117,464.628,473.232



100k-rows:
	branch clone T1: 0.162,0.158,0.167,0.161,0.155  
	branch clone T2: 0.145,0.140,0.149,0.143,0.151  
	branch clone T3: 0.150,0.147,0.155,0.143,0.152  
	branch clone T4: 0.148,0.143,0.151,0.146,0.154
	
	branch diff T1 T0: 8.624,8.370,8.910,8.230,8.980  
	branch diff T2 T0: 8.431,8.120,8.690,8.020,8.790  
	branch diff T3 T0: 8.272,8.030,8.540,7.920,8.610  
	branch diff T4 T0: 8.331,8.010,8.630,7.950,8.720
	
	branch merge T1 T0: 11.041,10.770,11.420,10.520,11.560  
	branch merge T2 T0: 11.512,11.020,11.930,10.970,12.030  
	branch merge T3 T0: 11.267,10.890,11.750,10.730,11.620  
	branch merge T4 T0: 11.598,11.090,12.010,11.460,12.140


	sql copy T1: 118.190s,117.545s,123.604s,127.239s,116.333s
	sql copy T2: 124.263s,110.729s,116.437s,119.862s,109.588s
	sql copy T3: 125.491s,121.385s,127.642s,131.396s,120.133s
	sql copy T4: 120.449s,113.633s,119.490s,123.004s,112.461s
	
	sql diff T1 T0: 426.994s,409.914s,439.804s,461.154s,448.344s
	sql diff T2 T0: 439.479s,421.900s,452.663s,474.637s,461.453s
	sql diff T3 T0: 431.428s,414.171s,444.371s,465.942s,452.999s
	sql diff T4 T0: 435.211s,417.803s,448.267s,470.028s,456.972s
	
	sql merge T1 T0: 423.135s,406.210s,435.829s,456.986s,444.292s
	sql merge T2 T0: 421.089s,404.245s,433.722s,454.776s,442.143s
	sql merge T3 T0: 413.050s,396.528s,425.442s,446.094s,433.703s
	sql merge T4 T0: 430.211s,413.003s,443.117s,464.628s,451.722s



1m-rows:
	branch clone T1: 0.173,0.170,0.167,0.176,0.166  
	branch clone T2: 0.150,0.151,0.148,0.143,0.150  
	branch clone T3: 0.142,0.135,0.141,0.136,0.136  
	branch clone T4: 0.146,0.145,0.151,0.141,0.142
	
	branch diff T1 T0: 57.858,58.595,60.448,58.304,57.260          Avg: 58.493
	branch diff T2 T0: 58.111,60.879,55.476,60.194,56.888          Avg: 58.310
	branch diff T3 T0: 58.544,56.461,56.306,57.423,60.395          Avg: 57.22
	branch diff T4 T0: 60.516,58.584,61.010,61.357,59.744          Avg: 60.24
	
	branch merge T1 T0: 65.025,65.335,62.182,62.161,63.113          Avg: 63.563
	branch merge T2 T0: 66.253,67.448,65.773,65.022,66.820          Avg: 66.462
	branch merge T3 T0: 66.541,66.229,65.209,68.500,67.865          Avg: 66.869
	branch merge T4 T0: 69.358,67.583,69.874,69.533,71.960          Avg: 69.662


	sql copy T1: 111.730s,115.121s,122.392s,126.027s,119.968s
	sql copy T2: 124.451s,108.446s,115.296s,118.720s,113.012s
	sql copy T3: 115.251s,118.882s,126.390s,130.145s,123.888s
	sql copy T4: 117.343s,111.290s,118.318s,121.833s,115.976s
	
	sql diff T1 T0: 426.994s,405.644s,435.534s,452.614s,469.693s          Avg: 438.716
	sql diff T2 T0: 439.479s,417.505s,448.269s,465.848s,483.427s          Avg: 447.106
	sql diff T3 T0: 431.428s,409.857s,440.057s,457.314s,474.571s          Avg: 446.589
	sql diff T4 T0: 435.211s,413.450s,443.915s,461.324s,478.732s          Avg: 448.924
	
	sql merge T1 T0: 423.135s,401.978s,431.598s,448.523s,465.449s          Avg: 433.6
	sql merge T2 T0: 421.089s,400.035s,429.511s,446.354s,463.198s          Avg: 431.8
	sql merge T3 T0: 413.050s,392.398s,421.311s,437.833s,454.355s          Avg: 423.4
	sql merge T4 T0: 430.211s,408.700s,438.815s,456.024s,473.232s          Avg: 441.3


